Historic Coal Production Data: 1989,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1989,102570,West Blocton #1,Alabama,Bibb,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"B.w.s. Technology, Inc.","4527 L8th Ave East Apt60, Tuscaloosa, AL 35407",Non-Union,52
1989,102838,Hebron Mine,Alabama,Bibb,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke,"200 Cahaba Park S Ste 11, Birmingham, AL 35242",Non-Union,"1,312"
1989,102632,Long'S Branch Mine,Alabama,Blount,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,"Long Branch Coal Company, Inc.","P O Box 246, Trafford, AL 35172",Non-Union,"48,155"
1989,102654,Blue Springs Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Company,","P O Box 129, Oneonta, AL 35121",Non-Union,"31,904"
1989,102666,Dry Creek Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,New Acton Coal Mining Company,"P O Box 129, Oneonta, AL 35121",Non-Union,"1,289"
1989,102771,Friday'S Crossing,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","P O Box 129, Oneonta, AL 35121",Non-Union,"31,624"
1989,102790,Blue Springs Mine #2,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","P O Box 129, Oneonta, AL 35121",Non-Union,"34,647"
1989,102791,Straight Mountain Mine,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","P O Box 129, Oneonta, AL 35121",-,"55,585"
1989,102831,Lehigh,Alabama,Blount,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,"Hallmark Trucking, Inc.","P O Box 87, Locust Fork, AL 35097",Non-Union,"6,059"
1989,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","Post Office Box 1549, Jasper, AL 35501",United Mine Workers of America,"453,139"
1989,102393,Mine #1,Alabama,Dekalb,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Upper Cliff Mining Co, Inc","P O Box 69, Sylvania, AL 35988",Non-Union,"4,201"
1989,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"P O Drawer 519, Berry, AL 35546",United Mine Workers of America,"2,022,494"
1989,102808,Berry-Barnes Mine,Alabama,Fayette,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Pickens Coal, Inc.","P O Box 327, Oakman, AL 35579",-,"13,918"
1989,102823,Howard Mine,Alabama,Fayette,Appalachia Southern,-,Surface,-,Mine only,Howard Land Comany,"P O Box 307, Carbon Hill, AL 35549",-,"6,019"
1989,102813,Higdon Mine,Alabama,Jackson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Bar Coal, Inc.","P O Box 187, Higdon, AL 35979",-,"27,839"
1989,100323,Chetopa,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"686,216"
1989,100406,Beltona Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"477,415"
1989,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"556,696"
1989,100722,Shannon Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Black Diamond Coal Mining Co,"2229 First Avenue, North, Birmingham, AL 35203",United Mine Workers of America,"8,603"
1989,100742,Short Creek 8750,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"856,032"
1989,100758,No 3-Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"Route 1 Box 133, Hwy 216, Brookwood, AL 35444",United Mine Workers of America,"2,046,641"
1989,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,U S Steel Mining Company Inc,"P O Box 2200, Bessemer, AL 35021",United Mine Workers of America,"1,679,113"
1989,101256,Bryan Loading,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"118,268"
